Enter SFTP password: 
2026/03/13 11:16:03 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_142000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_144000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_130000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_150000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_134000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_140000.WAV: Copied (new)
2026/03/13 11:16:04 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_132000.WAV: Copied (new)
2026/03/13 11:16:05 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_124000.WAV: Copied (new)
2026/03/13 11:16:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_152000.WAV: Copied (new)
2026/03/13 11:16:15 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_154000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_162000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_160000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_170000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_164000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_172000.WAV: Copied (new)
2026/03/13 11:16:16 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_174000.WAV: Copied (new)
2026/03/13 11:16:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_180000.WAV: Copied (new)
2026/03/13 11:16:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_182000.WAV: Copied (new)
2026/03/13 11:16:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_190000.WAV: Copied (new)
2026/03/13 11:16:27 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_184000.WAV: Copied (new)
2026/03/13 11:16:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_192000.WAV: Copied (new)
2026/03/13 11:16:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_194000.WAV: Copied (new)
2026/03/13 11:16:28 INFO  : Analalava/NLP_A/NLP_A-NLP01/NLP_A-NLP01_20230121_200000.WAV: Copied (new)
